 HAFL_pntsource            SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
 ob_typ         props       area_ha   flash_idx       mean          max        p.1               p.5           p1                 p2             p3             p5            p10            p15            p20            p25            p30            p35            p40            p45            p50            p55            p60            p65            p70            p75            p80            p85            p90            p95            p97            p98            p99            min 
 chandeg            1   28.03460      1.3496432E-08  0.0000000E+00  1.2923325E-04  7.9535836E-05  6.2744490E-05  4.8484300E-05  4.1688767E-05  3.0381701E-05  2.2784492E-05  1.1701689E-05  5.2693658E-06  1.6689004E-06  1.5341174E-08  1.3544094E-09  2.5454711E-10  1.1321634E-12  5.8914455E-14  5.3671904E-16  2.6236136E-18  4.2711952E-21  1.2695598E-23  3.7430660E-27  3.0908897E-31  4.2684036E-37  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg            3   7.309900      1.5861440E-08  0.0000000E+00  8.2026861E-05  5.0482948E-05  3.9825154E-05  3.0773932E-05  2.6460673E-05  1.9283862E-05  1.4461764E-05  7.4272907E-06  3.3445697E-06  1.0592839E-06  9.7372306E-09  8.5960861E-10  1.6159257E-10  7.1856274E-13  3.7402996E-14  3.4054690E-16  1.6664186E-18  2.7127863E-21  8.0574813E-24  2.3765120E-27  1.9617508E-31  2.7085671E-37  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg           26   29.21370      1.4753465E-08  0.0000000E+00  1.5541579E-04  9.5649739E-05  7.5456475E-05  5.8307185E-05  5.0134880E-05  3.6537014E-05  2.7400616E-05  1.4072441E-05  6.3369362E-06  2.0070183E-06  1.8448038E-08  1.6288773E-09  3.0628433E-10  1.3615582E-12  7.0848899E-14  6.4557564E-16  3.1555315E-18  5.1394876E-21  1.5265323E-23  4.5041242E-27  3.7190003E-31  5.1330845E-37  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg           77   33.74580      1.4501954E-08  0.0000000E+00  2.1712141E-04  1.3362612E-04  1.0541540E-04  8.1457219E-05  7.0040216E-05  5.1043520E-05  3.8279639E-05  1.9659705E-05  8.8529250E-06  2.8038762E-06  2.5770964E-08  2.2757387E-09  4.2769430E-10  1.9021423E-12  9.9011653E-14  9.0176695E-16  4.4069515E-18  7.1772143E-21  2.1326645E-23  6.2799271E-27  5.1826446E-31  7.1708626E-37  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          140   236.5787      1.0881459E-08  0.0000000E+00  2.2578129E-04  1.4930985E-04  1.2085962E-04  9.1455200E-05  7.5469099E-05  5.8841109E-05  3.9877410E-05  2.0443829E-05  9.2060236E-06  2.9157100E-06  2.6802907E-08  2.3660787E-09  4.4494006E-10  1.9778779E-12  1.0288455E-13  9.3794277E-16  4.6022501E-18  9.8710201E-21  2.2181181E-23  6.9118868E-27  9.0724362E-31  7.4576965E-37  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          147  0.1672000      8.0480483E-10  0.0000000E+00  2.8704971E-03  8.8491652E-06  7.3141355E-06  5.6745175E-06  4.4728358E-06  3.4873433E-06  2.3885486E-06  1.2242025E-06  5.4561457E-07  1.7280567E-07  1.5882667E-09  1.4025102E-10  2.6385980E-11  1.1722191E-13  6.0987723E-15  5.5558803E-17  2.7254394E-19  5.8526063E-22  1.3147045E-24  4.0985474E-28  5.3783192E-32  4.4182610E-38  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          149  0.2168000      3.7976645E-07  0.0000000E+00  3.4369426E-03  8.7989629E-06  7.2110702E-06  5.4520619E-06  4.3106506E-06  3.2317987E-06  2.2856741E-06  1.1429599E-06  4.4104863E-07  2.6652685E-07  2.2216079E-07  1.2126033E-07  4.4113442E-09  3.2849549E-11  4.7802326E-12  6.0146370E-15  3.1665895E-18  1.7266423E-20  1.9434290E-24  2.9542655E-29  1.4630515E-35  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          171   17.03200      2.6691427E-05  0.0000000E+00  2.4310946E-04  1.4290189E-04  1.1528930E-04  8.3083847E-05  6.6457251E-05  4.9296439E-05  3.4831333E-05  2.0135196E-05  7.6819624E-06  4.1683361E-06  3.6518632E-06  2.4961737E-06  5.6213798E-07  2.0120776E-09  3.2350922E-10  1.0556037E-12  2.1766858E-14  4.8178407E-17  1.3881275E-19  2.8193516E-23  2.7902022E-27  7.6678591E-33  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          226  8.4600002E-02  3.4312066E-06  0.0000000E+00  1.3175793E-04  1.3171448E-04  1.3168792E-04  1.3164118E-04  1.3151768E-04  1.2867516E-04  1.2635739E-04  6.9476814E-06  3.6593410E-06  2.1725912E-06  6.3439410E-07  5.6132615E-07  3.3903424E-07  2.1454897E-08  2.8420075E-10  4.2553353E-11  2.2164005E-14  1.9762352E-15  1.2706442E-18  1.1883533E-21  1.2998103E-25  5.7046312E-30  6.3968008E-36  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          246  5.9400000E-02  4.1529705E-04  0.0000000E+00  1.9361498E-02  1.9359058E-02  1.9356497E-02  1.9353615E-02  1.9347170E-02  1.9337382E-02  1.9325187E-02  1.9241221E-02  4.6542664E-05  1.7586435E-06  1.0548817E-06  4.8143318E-07  2.7271398E-07  2.2494230E-07  1.0623970E-07  2.0939130E-10  3.5867510E-11  2.4313769E-14  1.2818913E-16  9.4855554E-20  6.2498635E-23  1.6848120E-27  9.0766847E-33  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          247   67.16060      4.1529888E-04  0.0000000E+00  1.9719537E-02  1.9717053E-02  1.9714484E-02  1.9711509E-02  1.9704947E-02  1.9694975E-02  1.9682558E-02  1.9597014E-02  5.1588675E-05  1.6450959E-06  1.0540487E-06  3.7897706E-07  2.2537999E-07  1.2524424E-07  6.1877444E-08  1.4624873E-08  4.7431498E-10  5.9203288E-13  1.3031149E-14  5.6483584E-19  4.4255633E-24  2.5191720E-30  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          250  0.6779000      3.4375960E-04  0.0000000E+00  2.8751357E-02  2.8748989E-02  2.8747194E-02  2.8739644E-02  2.8732006E-02  2.8722506E-02  2.8698603E-02  2.8608633E-02  2.8288133E-02  2.7241983E-02  1.4654237E-06  7.3869245E-07  3.2687078E-07  1.5232794E-07  7.3156372E-08  3.5958475E-08  6.2038814E-09  4.2761625E-10  6.9540096E-11  1.7271849E-14  4.8605902E-18  5.0397332E-22  1.4157884E-26  2.1283892E-35  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          251  0.7822000      3.4182190E-04  0.0000000E+00  3.5395738E-02  3.5392825E-02  3.5390612E-02  3.5381321E-02  3.5371915E-02  3.5360221E-02  3.5330795E-02  3.5220031E-02  3.4825467E-02  3.3537794E-02  1.4948778E-06  7.2285536E-07  3.2063829E-07  1.2466042E-07  7.4406607E-08  4.2992713E-08  5.1150965E-11  4.7479022E-12  1.9826601E-17  2.8269241E-23  2.4083339E-32  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          294  1.9600000E-02  1.5859774E-04  0.0000000E+00  5.6373477E-03  5.6370320E-03  5.6368173E-03  5.6359717E-03  5.6350701E-03  5.6340476E-03  5.6322757E-03  5.6244154E-03  5.6147389E-03  5.6032976E-03  5.5898661E-03  5.5787913E-03  5.5626463E-03  5.5324440E-03  5.4663643E-03  5.3371396E-03  7.1599482E-07  7.7292576E-08  3.2226666E-08  2.2362736E-08  5.8749166E-09  3.4227510E-11  7.0206872E-15  9.3577723E-21  4.3357417E-29  1.9559966E-35  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          297  9.9999997E-06  1.3887380E-04  0.0000000E+00  2.4763117E-02  2.4761872E-02  2.4760682E-02  2.4757069E-02  2.4753485E-02  2.4747888E-02  2.4740832E-02  2.4706298E-02  2.4666080E-02  2.4614552E-02  2.4555201E-02  2.4511475E-02  2.4446789E-02  2.4349682E-02  2.4099421E-02  2.3813395E-02  2.2737136E-02  2.2227407E-02  2.1701502E-02  1.0514133E-08  1.1556570E-09  1.6143537E-10  3.3409408E-13  1.4776562E-19  1.2252142E-28  3.3924367E-32  1.6482043E-36  0.0000000E+00  0.0000000E+00
 chandeg          148  0.2931000      1.9389869E-07  0.0000000E+00  5.6431284E-03  8.1082135E-06  6.6618081E-06  4.6625551E-06  3.6234972E-06  2.6459848E-06  1.7480037E-06  1.0321120E-06  7.4827028E-07  4.3355624E-07  2.6370788E-07  1.8076267E-07  1.1042081E-07  4.2876177E-08  5.0257469E-09  3.7240752E-10  1.5569640E-12  3.3525837E-15  1.9712605E-18  8.0929603E-24  6.1121457E-29  3.6091473E-37  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          158  0.8595000      1.1880943E-06  0.0000000E+00  3.5916492E-02  3.3070207E-02  1.2586485E-03  7.8372665E-05  3.7525049E-05  1.1028490E-05  4.3075320E-06  2.7596436E-06  2.5394136E-06  2.1040755E-06  1.9275953E-06  1.7082908E-06  1.5742997E-06  1.4155944E-06  1.1561762E-06  9.2986016E-07  6.6246861E-07  5.8769069E-07  4.5563971E-07  3.1873475E-07  2.4352522E-07  1.6538752E-07  1.3211574E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
