date	value
20130115	0.58
20130116	0.65
20130117	0.61
20130118	0.61
20130119	0.62
20130120	0.61
20130121	0.58
20130122	0.59
20130123	0.57
20130124	0.54
20130125	0.53
20130126	0.53
20130127	0.52
20130128	0.88
20130129	0.94
20130130	1.52
20130131	1.25
20130201	1.65
20130202	3.78
20130203	1.42
20130204	1.18
20130205	1.44
20130206	1.51
20130207	1.19
20130208	1.07
20130209	0.98
20130210	0.92
20130211	0.91
20130212	0.86
20130213	0.81
20130214	0.78
20130215	0.78
20130216	0.79
20130217	0.78
20130218	0.76
20130219	0.74
20130220	0.75
20130221	0.74
20130222	0.71
20130223	0.69
20130224	0.65
20130225	0.65
20130226	0.63
20130227	0.62
20130228	0.63
20130301	0.64
20130302	0.61
20130303	0.61
20130304	0.62
20130305	0.63
20130306	0.67
20130307	0.78
20130308	0.91
20130309	0.81
20130310	0.73
20130311	0.80
20130312	0.80
20130313	0.80
20130314	0.81
20130315	0.81
20130316	0.81
20130317	0.81
20130318	0.81
20130319	0.81
20130320	0.82
20130321	0.82
20130322	0.82
20130323	0.82
20130324	0.82
20130325	0.82
20130326	0.82
20130327	0.83
20130328	0.83
20130329	0.83
20130330	0.83
20130331	0.83
20130401	0.83
20130402	0.84
20130403	0.84
20130404	0.84
20130405	0.84
20130406	0.84
20130407	0.84
20130408	0.85
20130409	0.85
20130410	0.85
20130411	0.85
20130412	0.85
20130413	0.85
20130414	0.86
20130415	0.86
20130416	0.86
20130417	0.86
20130418	0.86
20130419	0.86
20130420	0.87
20130421	0.87
20130422	0.87
20130423	0.84
20130424	0.77
20130425	0.74
20130426	0.73
20130427	0.78
20130428	0.83
20130429	0.72
20130430	0.69
20130501	0.65
20130502	0.68
20130503	0.80
20130504	0.73
20130505	0.67
20130506	0.63
20130507	0.62
20130508	0.62
20130509	0.61
20130510	0.61
20130511	0.60
20130512	0.60
20130513	0.60
20130514	0.59
20130515	0.59
20130516	0.58
20130517	0.58
20130518	0.57
20130519	0.57
20130520	0.57
20130521	0.56
20130522	0.56
20130523	0.55
20130524	0.55
20130525	0.54
20130526	0.54
20130527	0.54
20130528	0.53
20130529	0.53
20130530	0.52
20130531	0.52
20130601	0.52
20130602	0.51
20130603	0.51
20130604	0.50
20130605	0.50
20130606	0.50
20130607	0.49
20130608	0.49
20130609	0.48
20130610	0.48
20130611	0.48
20130612	0.47
20130613	0.47
20130614	0.46
20130615	0.46
20130616	0.46
20130617	0.45
20130618	0.45
20130619	0.44
20130620	0.44
20130621	0.44
20130622	0.43
20130623	0.43
20130624	0.43
20130625	0.42
20130626	0.42
20130627	0.41
20130628	0.41
20130629	0.41
20130630	0.40
