          YR    CO2(ppm)
        1994   400.0000    
        1995   400.0000    
        1996   400.0000    
        1997   400.0000    
        1998   400.0000    
        1999   400.0000    
        2000   400.0000    
        2001   400.0000    
        2002   400.0000    
        2003   400.0000    
        2004   400.0000    
        2005   400.0000    
        2006   400.0000    
        2007   400.0000    
        2008   400.0000    
        2009   400.0000    
        2010   400.0000    
        2011   400.0000    
        2012   400.0000    
        2013   400.0000    
        2014   400.0000    
        2015   400.0000    
        2016   400.0000    
        2017   400.0000    
        2018   400.0000    
        2019   400.0000    
