lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
meadow_4cuts,,,,,initial_plant,fesc_cs1,"1,1000,0,0,1,1000",
meadow_4cuts,3,1,3,31,fertilizer,elem_n,broadcast,70
meadow_4cuts,3,1,3,31,fertilizer,elem_p,broadcast,25
meadow_4cuts,5,5,5,10,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts,5,11,5,15,fertilizer,elem_n,broadcast,60
meadow_4cuts,6,12,6,23,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts,6,25,6,30,fertilizer,elem_n,broadcast,40
meadow_4cuts,7,25,8,5,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts,9,15,9,30,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts,10,15,10,30,fertilizer,beefg_fl,aerial_liquid,25000
meadow_3cuts,,,,,initial_plant,fesc_cs1,"1,1000,0,0,1,1000",
meadow_3cuts,3,1,3,31,fertilizer,elem_n,broadcast,60
meadow_3cuts,3,1,3,31,fertilizer,elem_p,broadcast,25
meadow_3cuts,5,15,5,25,harvest_only,fesc_cs1,hay_cut_low,
meadow_3cuts,5,27,6,5,fertilizer,elem_n,broadcast,40
meadow_3cuts,7,25,8,5,harvest_only,fesc_cs1,hay_cut_low,
meadow_3cuts,8,7,8,12,fertilizer,elem_n,broadcast,40
meadow_3cuts,9,15,9,30,harvest_only,fesc_cs1,hay_cut_low,
meadow_3cuts,10,15,10,30,fertilizer,beefg_fl,aerial_liquid,15000
meadow_2cuts,,,,,initial_plant,fesc_cs1,"1,1000,0,0,1,1000",
meadow_2cuts,3,1,3,31,fertilizer,elem_n,broadcast,60
meadow_2cuts,3,1,3,31,fertilizer,elem_p,broadcast,25
meadow_2cuts,5,25,6,5,harvest_only,fesc_cs1,hay_cut_low,
meadow_2cuts,6,7,6,15,fertilizer,elem_n,broadcast,40
meadow_2cuts,8,10,8,25,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts_drn,,,,,initial_plant,fesc_cs1,"1,1000,0,0,1,1000",
meadow_4cuts_drn,3,1,3,31,fertilizer,elem_n,broadcast,70
meadow_4cuts_drn,3,1,3,31,fertilizer,elem_p,broadcast,25
meadow_4cuts_drn,5,5,5,10,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts_drn,5,11,5,15,fertilizer,elem_n,broadcast,60
meadow_4cuts_drn,6,12,6,23,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts_drn,6,25,6,30,fertilizer,elem_n,broadcast,40
meadow_4cuts_drn,7,25,8,5,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts_drn,9,15,9,30,harvest_only,fesc_cs1,hay_cut_low,
meadow_4cuts_drn,10,15,10,30,fertilizer,beefg_fl,aerial_liquid,25000
meadow_3cuts_drn,,,,,initial_plant,fesc_cs1,"1,1000,0,0,1,1000",
meadow_3cuts_drn,3,1,3,31,fertilizer,elem_n,broadcast,60
meadow_3cuts_drn,3,1,3,31,fertilizer,elem_p,broadcast,25
meadow_3cuts_drn,5,15,5,25,harvest_only,fesc_cs1,hay_cut_low,
meadow_3cuts_drn,5,27,6,5,fertilizer,elem_n,broadcast,40
meadow_3cuts_drn,7,25,8,5,harvest_only,fesc_cs1,hay_cut_low,
meadow_3cuts_drn,8,7,8,12,fertilizer,elem_n,broadcast,40
meadow_3cuts_drn,9,15,9,30,harvest_only,fesc_cs1,hay_cut_low,
meadow_3cuts_drn,10,15,10,30,fertilizer,beefg_fl,aerial_liquid,15000
meadow_2cuts_drn,,,,,initial_plant,fesc_cs1,"1,1000,0,0,1,1000",
meadow_2cuts_drn,3,1,3,31,fertilizer,elem_n,broadcast,60
meadow_2cuts_drn,3,1,3,31,fertilizer,elem_p,broadcast,25
meadow_2cuts_drn,5,25,6,5,harvest_only,fesc_cs1,hay_cut_low,
meadow_2cuts_drn,6,7,6,15,fertilizer,elem_n,broadcast,40
meadow_2cuts_drn,8,10,8,25,harvest_only,fesc_cs1,hay_cut_low,
orcd,,,,,initial_plant,orcd,"2,20000,0,0,1,10000",
orcd,5,1,5,31,fertilizer,elem_n,broadcast,60
orcd,9,1,10,31,harvest_only,orcd,orchard,
frst,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
wetl,,,,,initial_plant,wetl,"2,50000,0,0,1,10000",
rngb,,,,,initial_plant,rngb,"1,1000,0,0,1,1000",
rnge,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
rnge,9,1,9,1,harvest_only,rnge_test,grass_mulch,
bsvg,,,,,initial_plant,rnge,"0.1,10,0,0,1,10",
urld,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urld,9,1,9,1,harvest_only,rnge_test,grass_mulch,
urmd,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urmd,9,1,9,1,harvest_only,rnge_test,grass_mulch,
