lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
shrb,,,,,initial_plant,shrb,"2,50000,0,0,1,10000",
shrb_drn,,,,,initial_plant,shrb,"2,50000,0,0,1,10000",
frst,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
frst_drn,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
wetl,,,,,initial_plant,wetl,"2,50000,0,0,1,10000",
orcd,,,,,initial_plant,orcd,"2,20000,0,0,1,10000",
orcd,9,1,10,31,harvest_only,orcd,orchard,
orcd_drn,,,,,initial_plant,orcd,"2,20000,0,0,1,10000",
orcd_drn,9,1,10,31,harvest_only,orcd,orchard,
pt_ex,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
pt_ex,4,23,9,15,graz,dairy_low,"180,44,16,16,8.29",
pt_ex_drn,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
pt_ex_drn,4,23,9,15,graz,dairy_low,"180,44,16,16,8.29",
pt_in,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
pt_in,4,23,9,15,graz,dairy_high,"180,44,64,64,33.16",
pt_in_drn,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
pt_in_drn,4,23,9,15,graz,dairy_high,"180,44,64,64,33.16",
mw_ex,,,,,initial_plant,ryeg,"1,1000,0,0,1,1000",
mw_ex,6,15,6,30,harvest_only,ryeg,hay_cut_low,
mw_ex,8,10,8,25,harvest_only,ryeg,hay_cut_low,
mw_ls,,,,,initial_plant,ryeg,"1,1000,0,0,1,1000",
mw_ls,4,8,4,22,fertilizer,elem_n,broadcast,30
mw_ls,6,15,6,30,harvest_only,ryeg,hay_cut_low,
mw_ls,8,10,8,25,harvest_only,ryeg,hay_cut_low,
mw_ls,9,23,10,7,harvest_only,ryeg,hay_cut_low,
mw_in,,,,,initial_plant,ryeg,"1,1000,0,0,1,1000",
mw_in,4,8,4,22,fertilizer,beef_fr,aerial_liquid,900
mw_in,5,25,6,8,harvest_only,ryeg,hay_cut_low,
mw_in,5,25,6,8,fertilizer,beef_fr,aerial_liquid,900
mw_in,7,12,7,27,harvest_only,ryeg,hay_cut_low,
mw_in,7,12,7,27,fertilizer,beef_fr,aerial_liquid,900
mw_in,8,12,8,27,harvest_only,ryeg,hay_cut_low,
mw_in,8,12,8,27,fertilizer,beef_fr,aerial_liquid,900
mw_in,9,23,10,7,harvest_only,ryeg,hay_cut_low,
mw_ex_drn,,,,,initial_plant,ryeg,"1,1000,0,0,1,1000",
mw_ex_drn,6,15,6,30,harvest_only,ryeg,hay_cut_low,
mw_ex_drn,8,10,8,25,harvest_only,ryeg,hay_cut_low,
mw_ls_drn,,,,,initial_plant,ryeg,"1,1000,0,0,1,1000",
mw_ls_drn,4,8,4,22,fertilizer,elem_n,broadcast,30
mw_ls_drn,6,15,6,30,harvest_only,ryeg,hay_cut_low,
mw_ls_drn,8,10,8,25,harvest_only,ryeg,hay_cut_low,
mw_ls_drn,9,23,10,7,harvest_only,ryeg,hay_cut_low,
mw_in_drn,,,,,initial_plant,ryeg,"1,1000,0,0,1,1000",
mw_in_drn,4,8,4,22,fertilizer,beef_fr,aerial_liquid,900
mw_in_drn,5,25,6,8,harvest_only,ryeg,hay_cut_low,
mw_in_drn,5,25,6,8,fertilizer,beef_fr,aerial_liquid,900
mw_in_drn,7,12,7,27,harvest_only,ryeg,hay_cut_low,
mw_in_drn,7,12,7,27,fertilizer,beef_fr,aerial_liquid,900
mw_in_drn,8,12,8,27,harvest_only,ryeg,hay_cut_low,
mw_in_drn,8,12,8,27,fertilizer,beef_fr,aerial_liquid,900
mw_in_drn,9,23,10,7,harvest_only,ryeg,hay_cut_low,
