crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
tpas_mowingonly_1yr,3,15,4,1,fertilizer,beef_fr,broadcast,3000
tpas_mowingonly_1yr,3,15,4,1,tillage,diskplow,,
tpas_mowingonly_1yr,3,15,4,1,tillage,duckftc,,
tpas_mowingonly_1yr,3,15,4,1,tillage,harrow,,
tpas_mowingonly_1yr,3,15,4,1,plant,fesc1,,
tpas_mowingonly_1yr,4,2,4,7,fertilizer,elem_n,inject,25
tpas_mowingonly_1yr,5,30,6,15,harvest_only,fesc1,hay_cut_low,
tpas_mowingonly_1yr,6,16,6,20,fertilizer,beef_fr,inject,2000
tpas_mowingonly_1yr,8,15,9,1,harvest_only,fesc1,hay_cut_low,
tpas_mowingonly_1yr,9,2,9,7,fertilizer,beef_fr,inject,1000
tpas_mowingonly_1yr,10,20,11,7,harvest_only,fesc1,hay_cut_low,
tpas_mowingonly_1yr,,,,,skip,,,
tpas_mowingonly_1yr,3,15,4,10,kill_only,fesc1,,
tpas_mowingonly_2yr,3,15,4,1,fertilizer,beef_fr,broadcast,3000
tpas_mowingonly_2yr,3,15,4,1,tillage,diskplow,,
tpas_mowingonly_2yr,3,15,4,1,tillage,duckftc,,
tpas_mowingonly_2yr,3,15,4,1,tillage,harrow,,
tpas_mowingonly_2yr,3,15,4,1,plant,fesc4,,
tpas_mowingonly_2yr,4,2,4,7,fertilizer,elem_n,inject,25
tpas_mowingonly_2yr,5,30,6,15,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_2yr,6,16,6,20,fertilizer,beef_fr,inject,2000
tpas_mowingonly_2yr,8,15,9,1,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_2yr,9,2,9,7,fertilizer,beef_fr,inject,1000
tpas_mowingonly_2yr,10,20,11,7,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_2yr,,,,,skip,,,
tpas_mowingonly_2yr,1,15,1,30,fertilizer,beef_fr,broadcast,1500
tpas_mowingonly_2yr,2,28,3,15,fertilizer,beef_fr,broadcast,2300
tpas_mowingonly_2yr,4,2,4,7,fertilizer,elem_n,inject,25
tpas_mowingonly_2yr,5,30,6,15,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_2yr,6,16,6,20,fertilizer,beef_fr,inject,1000
tpas_mowingonly_2yr,8,15,9,1,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_2yr,9,2,9,7,fertilizer,beef_fr,inject,900
tpas_mowingonly_2yr,10,20,11,7,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_2yr,,,,,skip,,,
tpas_mowingonly_2yr,3,15,4,10,kill_only,fesc4,,
tpas_mowingonly_3yr,3,15,4,1,fertilizer,beef_fr,broadcast,3000
tpas_mowingonly_3yr,3,15,4,1,tillage,diskplow,,
tpas_mowingonly_3yr,3,15,4,1,tillage,duckftc,,
tpas_mowingonly_3yr,3,15,4,1,tillage,harrow,,
tpas_mowingonly_3yr,3,15,4,1,plant,fesc4,,
tpas_mowingonly_3yr,4,2,4,7,fertilizer,elem_n,inject,25
tpas_mowingonly_3yr,5,30,6,15,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,6,16,6,20,fertilizer,beef_fr,inject,2000
tpas_mowingonly_3yr,8,15,9,1,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,9,2,9,7,fertilizer,beef_fr,inject,1000
tpas_mowingonly_3yr,10,20,11,7,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,,,,,skip,,,
tpas_mowingonly_3yr,1,15,1,30,fertilizer,beef_fr,broadcast,1500
tpas_mowingonly_3yr,2,28,3,15,fertilizer,beef_fr,broadcast,2300
tpas_mowingonly_3yr,4,2,4,7,fertilizer,elem_n,inject,25
tpas_mowingonly_3yr,5,30,6,15,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,6,16,6,20,fertilizer,beef_fr,inject,1000
tpas_mowingonly_3yr,8,15,9,1,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,9,2,9,7,fertilizer,beef_fr,inject,900
tpas_mowingonly_3yr,10,20,11,7,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,,,,,skip,,,
tpas_mowingonly_3yr,1,15,1,30,fertilizer,beef_fr,broadcast,1500
tpas_mowingonly_3yr,2,28,3,15,fertilizer,beef_fr,broadcast,2300
tpas_mowingonly_3yr,4,2,4,7,fertilizer,elem_n,inject,25
tpas_mowingonly_3yr,5,30,6,15,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,6,16,6,20,fertilizer,beef_fr,inject,1000
tpas_mowingonly_3yr,8,15,9,1,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,9,2,9,7,fertilizer,beef_fr,inject,900
tpas_mowingonly_3yr,10,20,11,7,harvest_only,fesc4,hay_cut_low,
tpas_mowingonly_3yr,,,,,skip,,,
tpas_mowingonly_3yr,3,1,3,14,kill_only,fesc4,,
tpas_mowingonly_4yr,3,15,4,1,fertilizer,beef_fr,broadcast,3000
tpas_mowingonly_4yr,3,15,4,1,tillage,diskplow,,
tpas_mowingonly_4yr,3,15,4,1,tillage,duckftc,,
