crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
wwht,9,15,9,29,fertilizer,elem_p,broadcast,32
wwht,9,15,9,29,tillage,fallplow,NA,NA
wwht,9,15,9,29,plant,wwht,NA,NA
wwht,NA,NA,NA,NA,skip,NA,NA,NA
wwht,1,6,1,31,fertilizer,elem_n,broadcast,47.34268
wwht,2,7,3,4,fertilizer,elem_n,broadcast,44.9916
wwht,8,10,8,20,harvest_only,wwht,grain,NA
wwht,8,10,8,20,kill_only,wwht,NA,NA
wwht,8,14,8,24,tillage,stubbre,NA,NA
wwht,9,10,9,14,fertilizer,manure,broadcast,16
cana,9,30,10,11,fertilizer,elem_p,broadcast,26
cana,9,30,10,11,fertilizer,elem_n,broadcast,50
cana,9,30,10,11,tillage,fallplow,NA,NA
cana,9,30,10,15,plant,cana,NA,NA
cana,NA,NA,NA,NA,skip,NA,NA,NA
cana,1,7,1,28,fertilizer,elem_n,broadcast,99.45
cana,7,20,7,31,harvest_only,cana,grain,NA
cana,7,20,7,31,kill_only,cana,NA,NA
cana,7,24,8,4,tillage,stubbre,NA,NA
cana,8,27,9,7,fertilizer,manure,broadcast,16
cana,8,27,9,7,tillage,deepplow,NA,NA
barl,NA,NA,NA,NA,skip,NA,NA,NA
barl,4,13,4,23,fertilizer,elem_p,broadcast,20
barl,4,13,4,23,fertilizer,elem_n,broadcast,35
barl,4,13,4,23,fertilizer,manure,broadcast,11
barl,4,13,4,23,tillage,fallplow,NA,NA
barl,4,15,4,25,plant,barl,NA,NA
barl,5,12,5,22,fertilizer,elem_n,broadcast,35
barl,6,13,6,23,fertilizer,elem_n,broadcast,3
barl,8,1,8,10,harvest_only,barl,grain,NA
barl,8,1,8,10,kill_only,barl,NA,NA
barl,8,3,8,12,tillage,stubbre,NA,NA
barl,8,21,8,30,fertilizer,manure,broadcast,5
barl,8,21,8,30,tillage,deepplow,NA,NA
wpas,NA,NA,NA,NA,skip,NA,NA,NA
wpas,2,10,2,20,plant,wpas,NA,NA
wpas,4,2,4,3,graz,swine_low_2,NA,360
wpas,8,5,9,10,fertilizer,manure,broadcast,16
wpas,8,30,9,10,kill_only,wpas,NA,NA
grbn,NA,NA,NA,NA,skip,NA,NA,NA
grbn,4,8,4,18,fertilizer,elem_p,broadcast,21
grbn,4,8,4,18,fertilizer,elem_n,broadcast,12
grbn,4,8,4,18,fertilizer,manure,broadcast,16
grbn,4,10,4,20,plant,grbn,NA,NA
grbn,5,8,5,18,fertilizer,elem_n,broadcast,18
grbn,8,1,8,31,harvest_only,grbn,grain,NA
grbn,8,1,8,31,kill_only,grbn,NA,NA
grbn,8,3,9,2,tillage,rowcult,NA,NA
grbn,8,20,9,19,fertilizer,manure,broadcast,5
oats,NA,NA,NA,NA,skip,NA,NA,NA
oats,3,30,4,23,fertilizer,elem_p,broadcast,19.6671
oats,3,30,4,23,fertilizer,elem_n,broadcast,25
oats,3,30,4,23,fertilizer,manure,broadcast,16
oats,3,30,4,23,tillage,fallplow,NA,NA
oats,4,1,4,25,plant,oats,NA,NA
oats,4,24,5,18,fertilizer,elem_n,broadcast,25
oats,8,10,8,20,harvest_only,oats,grain,NA
oats,8,10,8,20,kill_only,oats,NA,NA
oats,8,12,8,22,tillage,stubbre,NA,NA
oats,8,31,9,10,tillage,deepplow,NA,NA
oats,8,31,9,10,fertilizer,manure,broadcast,5
peas,NA,NA,NA,NA,skip,NA,NA,NA
peas,4,8,4,18,fertilizer,elem_p,broadcast,21
peas,4,8,4,18,fertilizer,elem_n,broadcast,11
peas,4,8,4,18,fertilizer,manure,broadcast,23
peas,4,10,4,20,plant,peas,NA,NA
peas,5,10,5,20,fertilizer,elem_n,broadcast,17
peas,8,1,8,10,harvest_only,peas,grain,NA
peas,8,1,8,10,kill_only,peas,NA,NA
peas,8,3,8,12,tillage,rowcult,NA,NA
peas,8,3,8,12,fertilizer,manure,broadcast,5
scan,NA,NA,NA,NA,skip,NA,NA,NA
scan,4,8,4,18,fertilizer,elem_p,broadcast,30
scan,4,8,4,18,fertilizer,elem_n,broadcast,28
scan,4,8,4,18,fertilizer,manure,broadcast,20
scan,4,8,4,18,tillage,fallplow,NA,NA
scan,4,10,4,20,plant,scan,NA,NA
scan,5,10,5,20,fertilizer,elem_n,broadcast,28
scan,8,20,8,31,harvest_only,scan,grain,NA
scan,8,20,8,31,kill_only,scan,NA,NA
scan,8,22,9,2,tillage,stubbre,NA,NA
scan,9,9,9,20,tillage,deepplow,NA,NA
scan,9,9,9,20,fertilizer,manure,broadcast,11
pota,NA,NA,NA,NA,skip,NA,NA,NA
pota,4,19,5,9,fertilizer,elem_p,broadcast,31
pota,4,19,5,9,fertilizer,elem_n,broadcast,86.4
pota,4,19,5,9,fertilizer,manure,broadcast,11
pota,4,20,5,10,plant,pota,NA,NA
pota,5,19,6,9,fertilizer,elem_n,broadcast,42.4
pota,7,1,9,15,harvest_only,pota,tuber,NA
pota,7,1,9,15,kill_only,pota,NA,NA
pota,7,2,9,15,tillage,rowcult,NA,NA
sgbt,NA,NA,NA,NA,skip,NA,NA,NA
sgbt,4,13,4,28,fertilizer,elem_p,broadcast,26.6
sgbt,4,13,4,28,fertilizer,elem_n,broadcast,59
sgbt,4,13,4,28,fertilizer,manure,broadcast,17
sgbt,4,15,4,30,plant,sgbt,NA,NA
sgbt,5,23,6,7,fertilizer,elem_n,broadcast,38
sgbt,9,1,9,10,harvest_only,sgbt,tuber,NA
sgbt,9,1,9,10,kill_only,sgbt,NA,NA
sgbt,9,3,9,12,tillage,rowcult,NA,NA
sgbt,9,12,9,31,fertilizer,manure,broadcast,9
strc,NA,NA,NA,NA,skip,NA,NA,NA
strc,3,27,4,20,fertilizer,elem_p,broadcast,26.6
strc,3,27,4,20,fertilizer,elem_n,broadcast,33
strc,3,27,4,20,fertilizer,manure,broadcast,9
strc,3,27,4,20,tillage,rowcult,NA,NA
strc,4,1,4,25,plant,strc,NA,NA
strc,4,19,5,13,fertilizer,elem_n,broadcast,33
strc,5,14,6,3,fertilizer,elem_n,broadcast,2
strc,7,20,8,10,harvest_only,strc,grain,NA
strc,7,20,8,10,kill_only,strc,NA,NA
crrt,NA,NA,NA,NA,skip,NA,NA,NA
crrt,4,3,5,13,fertilizer,elem_p,broadcast,37
crrt,4,3,5,13,fertilizer,elem_n,broadcast,99
crrt,4,3,5,13,fertilizer,manure,broadcast,11
crrt,4,5,5,15,plant,crrt,NA,NA
crrt,9,1,9,10,harvest_only,crrt,tuber,NA
crrt,9,1,9,10,kill_only,crrt,NA,NA
crrt,9,3,9,12,tillage,rowcult,NA,NA
alfa,NA,NA,NA,NA,skip,NA,NA,NA
alfa,4,30,5,9,fertilizer,elem_p,broadcast,9
alfa,4,30,5,9,fertilizer,elem_n,broadcast,11
alfa,4,30,5,9,fertilizer,manure,broadcast,23
alfa,4,30,5,9,tillage,fallplow,NA,NA
alfa,5,1,5,10,plant,alfa,NA,NA
alfa,5,12,5,21,fertilizer,elem_n,broadcast,10
alfa,8,20,8,31,harvest_only,alfa,grain,NA
alfa,8,20,8,31,kill_only,alfa,NA,NA
alfa,8,21,9,1,tillage,rowcult,NA,NA
alfa,9,3,9,14,fertilizer,manure,broadcast,5
corn,NA,NA,NA,NA,skip,NA,NA,NA
corn,5,4,5,13,tillage,fallplow,NA,NA
corn,5,4,5,13,fertilizer,elem_p,broadcast,36.5
corn,5,4,5,13,fertilizer,elem_n,broadcast,96
corn,5,4,5,13,fertilizer,manure,broadcast,5
corn,5,6,5,15,plant,corn,NA,NA
corn,5,27,6,5,fertilizer,elem_n,broadcast,41
corn,9,10,9,20,harvest_only,corn,grain,NA
corn,9,10,9,20,kill_only,corn,NA,NA
corn,9,12,9,22,tillage,stubbre,NA,NA
wtrc,9,10,10,21,tillage,fallplow,NA,NA
wtrc,9,10,10,25,plant,wtrc,NA,NA
wtrc,NA,NA,NA,NA,skip,NA,NA,NA
wtrc,7,20,8,10,harvest_only,wtrc,grain,NA
wtrc,7,20,8,10,kill_only,wtrc,NA,NA
wtrc,7,24,8,14,tillage,stubbre,NA,NA
wtrc,8,30,9,10,fertilizer,manure,broadcast,16
wtrc,8,30,9,10,tillage,rowcult,NA,NA
bwht,NA,NA,NA,NA,skip,NA,NA,NA
bwht,5,18,6,8,fertilizer,elem_p,broadcast,14
bwht,5,18,6,8,fertilizer,elem_n,broadcast,33
bwht,5,18,6,8,fertilizer,manure,broadcast,9
bwht,5,18,6,8,tillage,fallplow,NA,NA
bwht,5,20,6,10,plant,bwht,NA,NA
bwht,8,10,8,20,harvest_only,bwht,grain,NA
bwht,8,10,8,20,kill_only,bwht,NA,NA
bwht,8,12,8,22,tillage,stubbre,NA,NA
bwht,8,29,9,8,tillage,deepplow,NA,NA
bwht,8,29,9,8,fertilizer,manure,broadcast,5
vtch,NA,NA,NA,NA,skip,NA,NA,NA
vtch,3,30,4,8,fertilizer,elem_p,broadcast,14
vtch,3,30,4,8,fertilizer,elem_n,broadcast,33
vtch,3,30,4,8,fertilizer,manure,broadcast,11
vtch,3,30,4,8,tillage,fallplow,NA,NA
vtch,4,1,4,10,plant,vtch,NA,NA
vtch,5,5,5,14,fertilizer,elem_n,broadcast,28
vtch,8,10,8,31,harvest_only,vtch,grain,NA
vtch,8,10,8,31,kill_only,vtch,NA,NA
vtch,8,12,9,2,tillage,stubbre,NA,NA
vtch,8,30,9,20,tillage,deepplow,NA,NA
vtch,8,30,9,20,fertilizer,manure,broadcast,5
clvr,NA,NA,NA,NA,skip,NA,NA,NA
clvr,4,10,4,20,plant,clvr,NA,NA
clvr,5,2,5,3,graz,swine_low_2,NA,360
clvr,6,30,6,8,fertilizer,manure,broadcast,8
clvr,8,30,9,15,fertilizer,manure,broadcast,5
clvr,8,30,9,15,kill_only,clvr,NA,NA
canp,NA,NA,NA,NA,skip,NA,NA,NA
canp,4,8,4,18,fertilizer,elem_p,broadcast,18
canp,4,8,4,18,fertilizer,elem_n,broadcast,1
canp,4,8,4,18,fertilizer,manure,broadcast,11
canp,4,8,4,18,tillage,fallplow,NA,NA
canp,4,10,4,20,plant,canp,NA,NA
canp,7,10,7,20,harvest_only,canp,grain,NA
canp,7,10,7,20,kill_only,canp,NA,NA
canp,7,12,7,22,tillage,stubbre,NA,NA
canp,8,1,8,11,tillage,deepplow,NA,NA
canp,8,1,8,11,fertilizer,manure,broadcast,5
lmix,NA,NA,NA,NA,skip,NA,NA,NA
lmix,4,8,4,18,fertilizer,elem_p,broadcast,20
lmix,4,8,4,18,fertilizer,elem_n,broadcast,15
lmix,4,8,4,18,fertilizer,manure,broadcast,11
lmix,4,10,4,20,plant,lmix,NA,NA
lmix,5,10,5,20,fertilizer,elem_n,broadcast,22.5
lmix,8,10,8,20,harvest_only,lmix,grain,NA
lmix,8,10,8,20,kill_only,lmix,NA,NA
lmix,8,12,8,22,tillage,rowcult,NA,NA
lmix,8,30,9,9,fertilizer,manure,broadcast,3
soyb,NA,NA,NA,NA,skip,NA,NA,NA
soyb,5,13,5,28,fertilizer,elem_p,broadcast,27.45
soyb,5,13,5,28,fertilizer,elem_n,broadcast,12.3
soyb,5,13,5,28,fertilizer,manure,broadcast,19.66
soyb,5,13,5,28,tillage,fallplow,NA,NA
soyb,5,15,5,30,plant,soyb,NA,NA
soyb,8,10,8,20,harvest_only,soyb,grain,NA
soyb,8,10,8,20,kill_only,soyb,NA,NA
soyb,8,12,8,22,tillage,stubbre,NA,NA
soyb,8,29,9,8,tillage,deepplow,NA,NA
soyb,8,29,9,8,fertilizer,manure,broadcast,10.58
wbar,9,15,9,25,fertilizer,elem_p,broadcast,17
wbar,9,15,9,25,tillage,fallplow,NA,NA
wbar,9,15,9,25,plant,wbar,NA,NA
wbar,NA,NA,NA,NA,skip,NA,NA,NA
wbar,7,10,7,20,harvest_only,wbar,grain,NA
wbar,7,10,7,20,kill_only,wbar,NA,NA
wbar,7,14,7,24,tillage,stubbre,NA,NA
wbar,8,23,9,2,tillage,deepplow,NA,NA
wbar,8,23,9,2,fertilizer,manure,broadcast,13
swht,NA,NA,NA,NA,skip,NA,NA,NA
swht,3,30,4,23,fertilizer,elem_p,broadcast,18
swht,3,30,4,23,fertilizer,elem_n,broadcast,34
swht,3,30,4,23,fertilizer,manure,broadcast,9.7
swht,3,30,4,23,tillage,fallplow,NA,NA
swht,4,1,4,25,plant,swht,NA,NA
swht,5,3,5,27,fertilizer,elem_n,broadcast,42.88
swht,7,11,8,4,fertilizer,elem_n,broadcast,8.57
swht,8,20,9,10,harvest_only,swht,grain,NA
swht,8,20,9,10,kill_only,swht,NA,NA
swht,8,22,9,12,tillage,stubbre,NA,NA
swht,9,10,9,12,tillage,deepplow,NA,NA
swht,9,12,9,15,fertilizer,manure,broadcast,5
barr,NA,NA,NA,NA,skip,NA,NA,NA
barr,4,10,4,20,plant,clvr,NA,NA
barr,5,2,5,3,graz,swine_low_2,NA,360
barr,6,30,6,8,fertilizer,manure,broadcast,8
barr,8,30,9,20,fertilizer,manure,broadcast,5
barr,8,30,9,20,kill_only,clvr,NA,NA
orcd,NA,NA,NA,NA,skip,NA,NA,NA
orcd,4,8,4,18,fertilizer,elem_p,broadcast,20
orcd,4,8,4,18,fertilizer,elem_n,broadcast,15
orcd,4,8,4,18,fertilizer,manure,broadcast,11
