crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
csill160,NA,NA,NA,NA,skip,NA,NA,NA
csill160,3,26,4,9,fertilizer,liq_man_it,aerial_liquid,4800
csill160,3,27,4,10,tillage,fallplow,NA,NA
csill160,3,27,4,10,tillage,harrow,NA,NA
csill160,3,30,4,14,plant,csi1,NA,NA
csill160,3,30,4,14,tillage,rolpkrat,NA,NA
csill160,4,30,5,14,fertilizer,urea,broadcast,423
csill160,4,30,5,14,tillage,rodweedr,NA,NA
csill160,6,15,6,24,irrm,irrig,NA,NA
csill160,7,1,7,10,irrm,irrig,NA,NA
csill160,7,17,7,21,irrm,irrig,NA,NA
csill160,7,25,7,30,irrm,irrig,NA,NA
csill160,8,2,8,7,irrm,irrig,NA,NA
csill160,8,10,8,17,irrm,irrig,NA,NA
csill160,8,18,8,30,irrm,irrig,NA,NA
csill160,9,16,9,29,harvest_only,csi1,silage,NA
csill160,9,16,9,29,kill_only,csi1,NA,NA
csill160,9,17,9,30,tillage,rollhrrw ,NA,NA
csill160_mustard,10,20,10,27,plant,mustard,NA,NA
csill160_mustard,NA,NA,NA,NA,skip,NA,NA,NA
csill160_mustard,3,25,4,8,harvest_only,mustard,grass_mulch,NA
csill160_mustard,3,25,4,8,kill_only,mustard,NA,NA
csill160_mustard,3,26,4,9,fertilizer,liq_man_it,aerial_liquid,4800
csill160_mustard,3,27,4,10,tillage,fallplow,NA,NA
csill160_mustard,3,27,4,10,tillage,harrow,NA,NA
csill160_mustard,3,30,4,14,plant,csi1,NA,NA
csill160_mustard,3,30,4,14,tillage,rolpkrat,NA,NA
csill160_mustard,4,30,5,14,fertilizer,urea,broadcast,423
csill160_mustard,4,30,5,14,tillage,rodweedr,NA,NA
csill160_mustard,6,15,6,24,irrm,irrig,NA,NA
csill160_mustard,7,1,7,10,irrm,irrig,NA,NA
csill160_mustard,7,17,7,21,irrm,irrig,NA,NA
csill160_mustard,7,25,7,30,irrm,irrig,NA,NA
csill160_mustard,8,2,8,7,irrm,irrig,NA,NA
csill160_mustard,8,10,8,17,irrm,irrig,NA,NA
csill160_mustard,8,18,8,30,irrm,irrig,NA,NA
csill160_mustard,9,16,9,29,harvest_only,csi1,silage,NA
csill160_mustard,9,16,9,29,kill_only,csi1,NA,NA
csill160_mustard,9,17,9,30,tillage,rollhrrw ,NA,NA
alfalfa_0.5yr,10,1,10,15,tillage,fallplow,NA,NA
alfalfa_0.5yr,10,16,10,30,tillage,harrow,NA,NA
alfalfa_0.5yr,10,16,10,30,plant,alfa,NA,NA
alfalfa_0.5yr,10,16,10,30,tillage,rolpkrat,NA,NA
alfalfa_0.5yr,NA,NA,NA,NA,skip,NA,NA,NA
alfalfa_0.5yr,3,19,3,30,harvest_only,alfa,hay_cut_high,NA
alfalfa_0.5yr,3,19,3,30,tillage,packer,NA,NA
alfalfa_0.5yr,3,24,4,10,kill_only,alfa,NA,NA
alfalfa_1.0yr,10,1,10,15,tillage,fallplow,NA,NA
alfalfa_1.0yr,10,1,10,15,tillage,harrow,NA,NA
